;Глубина манометра;Dшт;Руст;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды_2;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб_2;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
11;3579.0;9.53;239.42;342.27;103.2;239.0;342.3;104.18;58.0;34.6;105.7;35.1;313.85;79.58;1.66;327.84;2353.5;129.7;1.7;62.57;41.23;;;92.0;90.8;;793.7;;0.66;;201.0
12;3579.0;11.11;213.43;312.27;103.19;212.0;312.3;103.0;61.0;41.2;105.2;41.11;395.0;85.5;2.59;410.02;3085.5;139.7;2.7;62.57;41.23;;;93.7;92.47;;793.7;;0.66;;172.0
13;3579.0;12.7;194.24;291.74;103.23;194.0;291.7;103.92;62.0;43.7;104.5;44.14;435.04;86.21;3.16;449.65;3534.4;137.7;3.2;62.57;41.23;;;89.6;88.43;;793.7;;0.66;;157.0
14;3579.0;14.29;166.0;263.03;107.38;166.0;263.0;107.54;63.0;49.2;103.4;49.75;494.59;88.07;3.51;509.05;4071.6;142.2;3.6;62.57;41.23;;;90.3;89.12;;793.7;;0.66;;141.0
15;3582.5;9.53;206.0;292.0;105.51;206.0;292.0;105.03;56.0;37.4;104.6;37.79;273.4;59.9;0.8;285.54;2085.0;94.0;0.7;62.6;;49.7;;92.1;90.9;;783.0;;0.67;;172.0
16;3653.0;7.94;323.1;440.5;108.89;314.0;442.7;99.17;37.0;14.0;105.42;16.2;310.78;150.07;1.2;337.72;1784.0;492.8;2.5;63.6;53.27;56.7;56.8;99.4;98.1;0.7874;798.0;1000.0;0.654;4.23;385.42
17;3653.0;9.53;272.69;388.7;89.65;268.0;388.6;86.75;48.0;21.0;105.32;22.03;375.37;138.98;0.86;398.4;3127.0;238.3;1.0;63.6;53.27;56.7;56.8;99.7;98.4;0.7874;798.0;1000.0;0.654;4.71;295.5
18;3653.0;12.7;202.15;308.8;97.88;197.0;308.7;92.46;54.0;35.0;105.22;35.41;473.78;151.79;0.7;496.81;3895.7;245.0;0.8;63.6;53.27;56.7;56.8;99.2;97.9;0.7874;798.0;1000.0;0.654;5.73;255.68
19;3653.0;14.29;165.85;270.5;79.95;162.0;270.4;81.15;52.0;34.0;105.12;33.83;488.09;143.15;0.43;509.73;5129.0;221.2;0.4;63.6;53.27;56.7;56.8;98.9;97.61;0.7874;798.0;1000.0;0.654;5.78;233.96
20;3653.0;15.88;138.87;239.3;80.73;136.0;239.3;79.54;51.0;38.0;105.02;37.26;492.51;137.68;0.41;513.33;5235.6;209.7;0.4;63.6;53.27;56.7;56.8;100.8;99.48;0.7874;798.0;1000.0;0.654;5.76;223.11
21;3653.0;14.29;149.89;251.3;73.31;151.0;285.3;72.58;50.0;;100.21;31.99;459.31;114.88;0.34;476.68;5209.5;172.5;0.3;63.6;53.27;56.7;56.8;97.0;95.73;0.7874;798.0;1000.0;0.654;5.25;199.63
22;3653.0;11.11;191.41;296.8;76.57;192.0;296.8;76.82;50.0;;102.38;24.8;355.02;109.27;0.33;371.54;3705.5;164.0;0.3;63.6;53.27;56.7;56.8;98.0;96.72;0.7874;798.0;1000.0;0.654;4.25;245.68
23;3650.0;7.94;337.11;458.6;91.05;333.0;458.5;89.43;60.0;90.3;105.6;31.18;287.95;106.66;0.49;306.24;2519.8;163.0;0.5;63.6;47.33;55.4;55.2;89.6;88.43;0.8213;795.0;1000.0;0.6822;3.72;294.59
24;3650.0;9.53;325.84;452.8;97.79;325.0;452.7;98.18;66.0;95.5;105.49;40.51;402.79;143.01;2.18;429.88;3517.8;218.9;2.2;63.6;47.33;55.4;55.2;85.5;84.38;0.8213;795.0;1000.0;0.6822;5.17;282.24
25;3650.0;12.7;299.56;437.3;103.11;299.0;437.2;105.98;74.0;103.6;105.47;51.38;654.56;230.98;4.56;692.79;5599.8;354.6;4.7;63.6;47.33;55.4;55.2;93.8;92.57;0.8213;795.0;1000.0;0.6822;8.4;280.56
26;3650.0;14.29;280.33;426.2;107.06;280.0;426.1;106.77;75.0;106.8;105.42;52.76;742.11;272.77;6.25;787.26;6020.6;421.6;6.4;63.6;47.33;55.4;55.2;92.3;91.09;0.8213;795.0;1000.0;0.6822;9.64;292.24
27;3650.0;15.87;256.21;414.0;109.78;255.0;413.9;109.39;75.0;110.2;105.36;55.51;846.82;302.62;8.34;896.91;6943.1;469.6;8.1;63.6;47.33;55.4;55.2;87.7;86.55;0.8213;795.0;1000.0;0.6822;10.93;284.08
28;3650.0;14.29;271.47;414.8;108.63;271.0;414.7;108.64;74.0;;105.35;53.13;720.27;262.01;6.01;763.64;5914.3;401.1;6.1;63.6;47.33;55.4;55.2;96.3;95.04;0.8213;795.0;1000.0;0.6822;9.33;289.18
29;3650.0;11.11;297.68;424.5;100.13;298.0;424.5;102.25;70.0;;105.37;44.88;497.16;179.76;3.29;526.91;4204.5;274.0;3.3;63.6;47.33;55.4;55.2;88.2;87.05;0.8213;795.0;1000.0;0.6822;6.42;287.52
30;3653.0;9.53;298.57;403.4;111.38;298.0;402.9;111.61;64.0;32.0;104.42;42.44;366.22;118.28;1.47;388.18;2724.6;184.3;1.5;63.6;43.4;54.9;52.7;88.8;87.64;0.8235;788.9;1000.0;0.684;4.59;254.84
31;3653.0;11.11;285.65;399.2;121.68;288.0;396.6;123.62;68.0;36.0;104.42;49.18;470.29;145.03;2.27;495.85;3324.9;229.5;2.3;63.6;43.4;54.9;52.7;87.4;86.26;0.8235;788.9;1000.0;0.684;5.83;243.23
32;;14.29;221.8;;107.56;222.0;;106.77;69.0;;;52.22;601.5;167.1;1.0;629.44;5020.0;254.0;1.0;63.6;;;;90.8;89.61;0.8243;788.4;1000.0;0.6847;7.28;219.04
33;3572.0;6.35;251.29;341.5;106.0;251.29;345.0;114.7;25.0;;104.9;26.5;148.2;40.0;0.0;;1768.6;98.2;0.0;30.0;38.59;51.3;51.7;94.8;93.56;;780.0;;0.662;;270.0
34;3572.0;9.53;237.1;330.0;105.9;237.1;328.7;103.8;31.0;;104.7;38.5;304.63;76.6;0.0;;2315.9;122.1;0.0;30.0;38.59;51.3;51.7;94.8;93.56;;780.0;;0.662;;251.0
35;3572.0;11.11;222.92;316.0;108.9;222.92;316.1;108.7;37.0;;104.6;45.0;389.86;91.8;1.1;;2998.1;143.5;1.2;30.0;38.59;51.3;51.7;103.6;102.25;;780.0;;0.662;;236.0
36;3572.0;12.7;222.92;301.6;101.7;222.92;329.7;108.4;37.0;;104.5;48.2;472.62;102.3;2.4;;4013.4;158.9;2.4;30.0;38.59;51.3;51.7;98.0;96.72;;780.0;;0.662;;217.0
37;3588.5;7.94;258.0;359.9;100.2;258.0;359.9;100.2;57.0;33.0;105.1;33.2;235.78;59.6;1.3;247.23;1839.2;94.7;1.2;30.0;40.39;49.4;;97.6;96.32;;792.0;;0.68;;200.0
38;3588.5;9.53;250.3;346.9;98.9;248.0;346.9;98.8;62.0;38.5;104.88;39.0;326.31;74.0;2.6;340.13;2690.92;119.1;2.7;30.0;40.39;49.4;;95.5;94.25;;792.0;;0.68;;180.0
39;3588.5;11.11;232.0;330.5;94.5;232.0;330.5;93.1;66.0;42.9;104.5;43.3;415.32;88.7;3.8;429.84;3706.49;138.7;3.9;30.0;40.39;49.4;;90.3;89.12;;792.0;;0.68;;169.0
40;3588.5;12.7;214.2;314.2;96.9;215.0;314.2;97.0;68.0;47.9;104.0;47.8;489.67;98.6;4.7;506.46;4437.44;159.2;4.9;30.0;40.39;49.4;;92.0;90.8;;792.0;;0.68;;160.0
41;3588.5;14.29;193.0;297.5;98.2;193.0;297.5;98.3;68.0;51.0;103.4;51.2;554.81;109.1;5.7;571.84;5035.74;170.4;5.8;30.0;40.39;49.4;;93.2;91.98;;792.0;;0.68;;156.0
42;3588.5;12.7;206.0;306.9;97.2;206.0;306.8;97.6;67.0;;103.76;48.2;490.36;94.7;4.5;505.13;4386.75;149.6;4.6;30.0;40.39;49.4;;92.5;91.29;;792.0;;0.68;;153.0
43;;9.53;215.0;;100.37;215.0;;100.26;58.0;;;37.54;285.0;55.4;0.5;296.33;2291.0;91.0;0.5;30.0;;;;92.9;91.69;;781.0;;0.67;;152.0
44;3478.5;9.53;260.0;347.0;93.85;260.0;345.7;94.36;57.0;34.3;106.51;35.29;347.86;67.79;5.49;360.53;3019.1;104.0;5.6;63.52;39.49;;;87.9;86.75;;779.8;;0.67;;152.0
45;3478.5;11.11;248.14;342.0;94.36;248.0;335.4;94.18;60.0;38.5;106.48;40.52;448.2;79.32;5.45;462.62;4002.5;122.7;5.6;63.52;39.49;;;87.9;86.75;;779.8;;0.67;;138.0
